open,high,low,close,volume
2020-10-08 13:15:00-04:00,101.28,101.28,101.14,101.26,9813
2020-10-08 13:30:00-04:00,101.27,101.31,101.14,101.31,22881
2020-10-08 13:45:00-04:00,101.28,101.29,101.13,101.17,49518
2020-10-08 14:00:00-04:00,101.2,101.445,101.115,101.395,29506
2020-10-08 14:15:00-04:00,101.38,101.48,101.38,101.465,51577
2020-10-08 14:30:00-04:00,101.49,101.59,101.485,101.57,42866
2020-10-08 14:45:00-04:00,101.58,101.685,101.48,101.64,102090
2020-10-08 15:00:00-04:00,101.65,101.765,101.51,101.665,63395
2020-10-08 15:15:00-04:00,101.655,101.66,101.54,101.63,45528
2020-10-08 15:30:00-04:00,101.63,101.7,101.615,101.67,53512
2020-10-08 15:45:00-04:00,101.68,101.915,101.67,101.82,196467
2020-10-09 09:15:00-04:00,101.81,101.81,101.81,101.81,390
2020-10-09 09:30:00-04:00,101.955,102.08,101.45,101.48,63747
2020-10-09 09:45:00-04:00,101.485,101.54,101.04,101.29,74597
2020-10-09 10:00:00-04:00,101.295,101.45,100.96,100.98,43166
2020-10-09 10:15:00-04:00,100.97,101.195,100.4,100.45,38198
2020-10-09 10:30:00-04:00,100.44,100.49,100.13,100.49,57624
2020-10-09 10:45:00-04:00,100.51,100.765,100.51,100.64,60709
2020-10-09 11:00:00-04:00,100.65,101.0,100.63,100.89,34363
2020-10-09 11:15:00-04:00,100.9,101.14,100.885,101.06,22888
2020-10-09 11:30:00-04:00,101.02,101.31,101.015,101.19,39568
2020-10-09 11:45:00-04:00,101.19,102.1,101.19,101.73,72349
2020-10-09 12:00:00-04:00,101.69,101.73,101.49,101.55,30230
2020-10-09 12:15:00-04:00,101.555,101.75,101.41,101.48,29227
2020-10-09 12:30:00-04:00,101.49,101.52,101.17,101.34,24647
2020-10-09 12:45:00-04:00,101.35,101.37,101.045,101.08,422703
2020-10-09 13:00:00-04:00,101.07,101.07,100.845,100.93,26105
2020-10-09 13:15:00-04:00,100.955,100.955,100.8,100.86,23445
2020-10-09 13:30:00-04:00,100.88,101.14,100.88,101.11,13916
2020-10-09 13:45:00-04:00,101.1,101.19,101.04,101.19,13107
2020-10-09 14:00:00-04:00,101.19,101.19,101.04,101.06,19381
2020-10-09 14:15:00-04:00,101.07,101.09,100.89,100.97,23749
2020-10-09 14:30:00-04:00,100.98,101.235,100.94,101.22,27194
2020-10-09 14:45:00-04:00,101.25,101.265,101.12,101.26,11983
2020-10-09 15:00:00-04:00,101.23,101.35,101.22,101.33,15694
2020-10-09 15:15:00-04:00,101.29,101.44,101.29,101.31,28099
2020-10-09 15:30:00-04:00,101.31,101.31,100.94,100.99,40308
2020-10-09 15:45:00-04:00,100.96,101.22,100.91,101.21,92888
2020-10-12 09:30:00-04:00,101.04,101.56,100.87,101.46,89446
2020-10-12 09:45:00-04:00,101.41,101.59,101.305,101.505,59014
2020-10-12 10:00:00-04:00,101.57,101.81,101.57,101.68,26227
2020-10-12 10:15:00-04:00,101.68,101.925,101.545,101.84,41538
2020-10-12 10:30:00-04:00,101.79,101.995,101.675,101.7,25179
2020-10-12 10:45:00-04:00,101.735,101.98,101.68,101.83,42874
2020-10-12 11:00:00-04:00,101.87,101.945,101.84,101.9,116379
2020-10-12 11:15:00-04:00,101.89,102.02,101.84,101.91,71382
2020-10-12 11:30:00-04:00,101.91,101.94,101.79,101.79,32806
2020-10-12 11:45:00-04:00,101.76,101.77,101.605,101.61,19554
2020-10-12 12:00:00-04:00,101.62,101.685,101.495,101.63,37915
2020-10-12 12:15:00-04:00,101.63,101.845,101.58,101.845,32886
2020-10-12 12:30:00-04:00,101.82,101.895,101.67,101.685,28071
2020-10-12 12:45:00-04:00,101.69,101.77,101.625,101.64,96348
2020-10-12 13:00:00-04:00,101.62,101.815,101.61,101.68,59898
2020-10-12 13:15:00-04:00,101.68,101.985,101.68,101.905,83800
2020-10-12 13:30:00-04:00,101.94,102.215,101.855,102.215,62129
2020-10-12 13:45:00-04:00,102.245,102.34,102.08,102.31,48254
2020-10-12 14:00:00-04:00,102.27,102.47,102.245,102.28,50900
2020-10-12 14:15:00-04:00,102.29,102.45,102.23,102.41,63133
2020-10-12 14:30:00-04:00,102.415,102.68,102.41,102.655,69924
2020-10-12 14:45:00-04:00,102.64,102.83,102.505,102.81,78246
2020-10-12 15:00:00-04:00,102.825,102.89,102.7,102.75,88574
2020-10-12 15:15:00-04:00,102.78,103.0,102.775,102.95,61010
2020-10-12 15:30:00-04:00,102.95,102.975,102.78,102.855,62601
2020-10-12 15:45:00-04:00,102.855,102.91,102.44,102.45,139944
2020-10-13 07:00:00-04:00,103.7,103.7,103.7,103.7,1000
2020-10-13 08:00:00-04:00,104.2,104.2,104.2,104.2,200
2020-10-13 08:30:00-04:00,103.88,103.95,103.88,103.88,1200
2020-10-13 08:45:00-04:00,103.77,103.86,103.77,103.86,1620
2020-10-13 09:00:00-04:00,103.97,104.0,103.49,103.71,2132
2020-10-13 09:15:00-04:00,103.76,103.76,103.76,103.76,2000
2020-10-13 09:30:00-04:00,103.03,103.18,101.36,102.35,321646
2020-10-13 09:45:00-04:00,102.35,102.44,101.57,102.05,188652
2020-10-13 10:00:00-04:00,102.05,102.32,101.41,101.53,157108
2020-10-13 10:15:00-04:00,101.5,101.5,100.76,100.98,144184
2020-10-13 10:30:00-04:00,101.01,101.28,100.905,100.96,108904
2020-10-13 10:45:00-04:00,100.97,101.09,100.86,101.01,84655
2020-10-13 11:00:00-04:00,101.03,101.21,100.95,100.99,45122
2020-10-13 11:15:00-04:00,100.97,101.42,100.96,101.13,47762
2020-10-13 11:30:00-04:00,101.15,101.17,100.45,100.54,76062
2020-10-13 11:45:00-04:00,100.51,100.94,100.49,100.78,73127
2020-10-13 12:00:00-04:00,100.75,100.9,100.59,100.9,50413
2020-10-13 12:15:00-04:00,100.93,101.375,100.93,101.33,36361
2020-10-13 12:30:00-04:00,101.32,101.335,100.77,100.93,66788
2020-10-13 12:45:00-04:00,100.95,101.0,100.85,100.92,36756
2020-10-13 13:00:00-04:00,100.9,100.91,100.54,100.8,89562
2020-10-13 13:15:00-04:00,100.8,100.9,100.6,100.67,41376
2020-10-13 13:30:00-04:00,100.675,100.95,100.57,100.93,37506
2020-10-13 13:45:00-04:00,100.94,100.94,100.72,100.83,51936
2020-10-13 14:00:00-04:00,100.84,100.95,100.71,100.895,21793
2020-10-13 14:15:00-04:00,100.93,101.06,100.71,100.71,54030
2020-10-13 14:30:00-04:00,100.72,100.72,100.3,100.34,91648
2020-10-13 14:45:00-04:00,100.31,100.66,100.26,100.59,67779
2020-10-13 15:00:00-04:00,100.58,100.74,100.55,100.69,50153
2020-10-13 15:15:00-04:00,100.63,100.93,100.61,100.9,34418
2020-10-13 15:30:00-04:00,100.93,101.05,100.9,100.91,55929
2020-10-13 15:45:00-04:00,100.915,101.02,100.74,100.83,200077
2020-10-14 08:00:00-04:00,100.21,100.21,100.2,100.2,400
2020-10-14 09:30:00-04:00,101.09,101.92,101.09,101.32,180579
2020-10-14 09:45:00-04:00,101.27,101.42,100.94,101.21,71661
